ID,Sirsi Value,Preferred Label,URI
5773c870-08bd-3237-a11e-60e059af32b3,Concertos (Piano),Concertos (Piano),http://id.loc.gov/authorities/subjects/sh85030211
8e51f09c-25fc-3729-8302-65b85a2ed22f,Cuckoos,Cuckoos,http://id.loc.gov/authorities/subjects/sh85034663
d3fe3996-8463-3d18-acc0-14cee0c6d82a,Holy Cross,Holy Cross,http://id.loc.gov/authorities/subjects/sh85061565
e685da79-75ed-3bb1-a8f1-cb7a86c149cd,Sacred songs (High voice) with organ,Sacred songs (High voice) with organ,http://id.loc.gov/authorities/subjects/sh85116329
db273c6a-c6fa-3863-9bcf-c37891bf07a2,Indians in music,Indians in music,http://id.loc.gov/authorities/subjects/sh2006007260
b119d5be-37d9-38df-a0e5-09273a6af918,Campaign songs,Campaign songs,http://id.loc.gov/authorities/subjects/sh85019202
ee1ade01-2c38-3fa3-9778-710274de9c55,"Carols, English","Carols, English",http://id.loc.gov/authorities/subjects/sh85020403
29645d18-9806-3011-bf31-b9e46dd22f90,Minstrel music,Minstrel music,http://id.loc.gov/authorities/subjects/sh95008868
99c64760-af98-382e-ba5b-9f4291baf15a,Monks,Monks,http://id.loc.gov/authorities/subjects/sh85086875
7ad8b260-ba3b-3b82-b314-489f72cf09fc,Mourning customs,Mourning customs,http://id.loc.gov/authorities/subjects/sh85087976
58531a8e-a536-3840-be8e-731324e1648c,Mermaids,Mermaids,http://id.loc.gov/authorities/subjects/sh85083861
45e436e2-e216-38a0-ab24-21795db113a9,Anthems,Anthems,http://id.loc.gov/authorities/subjects/sh85005524
b34c4737-5505-35fe-95f7-95af9a92d95d,Veterans,Veterans,http://id.loc.gov/authorities/subjects/sh85142973
72e31b66-cf8f-3a41-9705-7ef7a411134e,Lullabies,Lullabies,http://id.loc.gov/authorities/subjects/sh85078780
a5a85cbb-0214-37ce-acfd-a85e405af3d2,Pavans,Pavans,http://id.loc.gov/authorities/subjects/sh85098834
3882a504-1c15-3882-9aeb-8cd3a8d1d3cc,Vocal trios with piano,Vocal trios with piano,http://id.loc.gov/authorities/subjects/sh85144143
00738e7c-1270-3895-bcb9-06180ad04559,Palm Sunday,Palm Sunday,http://id.loc.gov/authorities/subjects/sh85097230
db610b11-ecfe-3f3e-a9a4-5640b4738854,Generosity,Generosity,http://id.loc.gov/authorities/subjects/sh85053848
0144d062-645a-3fbb-a1f7-ba77c9fe14f0,Poverty,Poverty,http://id.loc.gov/authorities/subjects/sh85105939
88b82194-2738-319a-a639-70d48f26f8be,Post horn,Post horn,http://id.loc.gov/authorities/subjects/sh86000533
02e45842-6321-3cc6-b365-f4cbbc76d494,Shipwrecks,Shipwrecks,http://id.loc.gov/authorities/subjects/sh85121666
2baba973-2897-3859-a696-e937c11f5e41,Hunters,Hunters,http://id.loc.gov/authorities/subjects/sh85063113
32d07772-285e-365d-8118-c205c9a7c758,"Folk songs, German","Folk songs, German",http://id.loc.gov/authorities/subjects/sh85049987
5ada8129-2105-301d-8ce8-e23ac9742ce5,"Violin and piano music, Arranged","Violin and piano music, Arranged",http://id.loc.gov/authorities/subjects/sh85143581
a0eedd14-3fe1-3cb1-ae8e-3e82b2909644,Women fishers,Women fishers,http://id.loc.gov/authorities/subjects/sh85147536
ec099e7b-09d5-3248-9acb-595ccce85f65,Snowflakes,Snowflakes,http://id.loc.gov/authorities/subjects/sh85123779
abd641d8-04aa-32d7-9bbc-7413fe72d85f,Roses,Roses,http://id.loc.gov/authorities/subjects/sh85115443
1de63608-f8c1-303f-972b-e1eb2573b9a3,Angels,Angels,http://id.loc.gov/authorities/subjects/sh85005001
74462226-a553-30a9-9aee-eeaa962bd003,Cornet and piano music,Cornet and piano music,http://id.loc.gov/authorities/subjects/sh85032818
43135370-7642-3b9b-8528-0c56218aabfb,Popular instrumental music,Popular instrumental music,http://id.loc.gov/authorities/subjects/sh87003318
51293daa-0d2d-3608-a7e2-2497c3f17d51,Unrequited love,Unrequited love,http://id.loc.gov/authorities/subjects/sh92003470
92028f7e-e06d-322a-83da-8af69cdac818,Swallows,Swallows,http://id.loc.gov/authorities/subjects/sh85130972
6bb364ad-103b-3494-9d38-5fcd72e8dd50,Organ and piano music,Organ and piano music,http://id.loc.gov/authorities/subjects/sh85101765
d1ab0e19-af75-3b36-b430-f37b6642ad5c,Marriage,Marriage,http://id.loc.gov/authorities/subjects/sh85081416
9afabc67-f64d-37de-a251-5244346b7fe5,Nightingale,Nightingale,http://id.loc.gov/authorities/subjects/sh85091913
3049d36e-40fb-3be4-b2ff-32b12e7aaa21,Boxing,Boxing,http://id.loc.gov/authorities/subjects/sh85016186
65eaacf6-ed0d-3671-a450-b7ee7cc2ef7e,Syrinx (Greek deity),Syrinx (Greek deity),http://id.loc.gov/authorities/subjects/sh2002011035
33ca17a5-6f6a-393f-9447-2ab7b0638dd2,Panpipes,Panpipes,http://id.loc.gov/authorities/subjects/sh85097479
d403ddbd-c27e-3c94-b895-bac82c83f978,Scherzos,Scherzos,http://id.loc.gov/authorities/subjects/sh99003190
1c036552-70f6-3259-8f88-a72bed551e2c,Homesickness,Homesickness,http://id.loc.gov/authorities/subjects/sh85061737
c97be7d8-47ba-3310-b9a5-aea0dab393b2,Stepmothers,Stepmothers,http://id.loc.gov/authorities/subjects/sh85127981
1a2521a8-fb6a-35df-ad02-feb0045e57ed,"Variations (Piano), Arranged","Variations (Piano), Arranged",http://id.loc.gov/authorities/subjects/sh85142212
5062598f-4743-3f2c-9361-8244142ed648,"Cornet and piano music, Arranged","Cornet and piano music, Arranged",http://id.loc.gov/authorities/subjects/sh85032819
4f9221d0-e848-3ec6-beaa-5cad363bb2ba,Older people,Older people,http://id.loc.gov/authorities/subjects/sh85002087
282681af-011c-3840-b341-d72f04cca513,Seduction,Seduction,http://id.loc.gov/authorities/subjects/sh85119517
48c6c69f-55bd-3f93-be7e-3e131540e37a,Amazons,Amazons,http://id.loc.gov/authorities/subjects/sh85004138
45f73deb-ee20-363b-a7d6-c9c27a39a67a,Zoos,Zoos,http://id.loc.gov/authorities/subjects/sh85150003
884a4f06-7fcd-3aec-aa77-99ace2775d14,"Folk songs, Italian","Folk songs, Italian",http://id.loc.gov/authorities/subjects/sh85050003
14ac1c95-c1e7-3ee5-aa81-97f580e3bef3,Tuscany,Tuscany (Italy),http://id.loc.gov/authorities/names/n79018344
c5ee436e-dcb0-3f77-b8da-8578e69001f3,Ocean,Ocean,http://id.loc.gov/authorities/subjects/sh85093871
7d05066e-ca29-35e2-aace-ee0264c3ffea,Friars,Friars,http://id.loc.gov/authorities/subjects/sh85051969
b7ce0f4e-631a-3946-a637-af49b8d92324,Spirituals (Songs),Spirituals (Songs),http://id.loc.gov/authorities/subjects/sh85126782
e2e2d618-bf9b-38a3-9ba7-9ef24a21f541,Seafaring life,Seafaring life,http://id.loc.gov/authorities/subjects/sh85119292
c6c10ef7-c2a5-375a-8f01-d98380dd82f9,Butterflies,Butterflies,http://id.loc.gov/authorities/subjects/sh85018381
10243dc8-0a72-3bf2-ba5f-eda5813a01be,Faith,Faith,http://id.loc.gov/authorities/subjects/sh85046928
2558cdd1-4902-3e64-848f-431be220ef71,Letter writing,Letter writing,http://id.loc.gov/authorities/subjects/sh85076220
3def1837-8c06-3afe-989a-15ec4ab0b236,Sisters,Sisters,http://id.loc.gov/authorities/subjects/sh85123008
8d7d75f3-2363-3118-8754-9977c67a2932,"Cantatas, Sacred","Cantatas, Sacred",http://id.loc.gov/authorities/subjects/sh85019781
efb7a09c-40e0-363c-8d15-182f0a0a88f3,Polonaises,Polonaises,http://id.loc.gov/authorities/subjects/sh85104553
0d72b056-096f-3230-a45f-649d13daf4d8,Suites (Orchestra),Suites (Orchestra),http://id.loc.gov/authorities/subjects/sh85130045
