ID,Sirsi Value,Preferred Label,URI,Country Name,Admin Name,Feature Class
21bc8e32-b34a-3657-9714-bbce7e8633f2,"En Madrid, Spain",Madrid,https://sws.geonames.org/3117735/,Spain,Madrid,P
d6823a7c-4140-397c-8491-c319bd315e98,"Exeter, New Hampshire",Exeter,https://sws.geonames.org/5085966/,United States,New Hampshire,P
89615e03-57ca-3d30-8582-189fbf458fb6,"Fauquier County, Va, Virginia",Fauquier County,https://sws.geonames.org/4758541/,United States,Virginia,A
396e66ec-54ac-32dc-8261-36a4d2548aba,"Flint Hill, Rappahannock County, Va, Virginia",Flint Hill,https://sws.geonames.org/4759389/,United States,Virginia,P
5711be05-b0e7-3aef-b8e1-470109aafe7c,Florida,Florida,https://sws.geonames.org/4155751/,United States,Florida,A
b8c2275a-97d7-3d6e-a3fc-a771488515b4,"France, France",France,https://sws.geonames.org/3017382/,France,,A
4a0e3b93-2062-3cc7-8eaa-6e11466511f7,"France?, France",France,https://sws.geonames.org/3017382/,France,,A
f96e1860-4ac7-311d-a69b-083406307831,"Frankfort? Ky, Kentucky",Frankfort,https://sws.geonames.org/4292188/,United States,Kentucky,P
1bdd64fa-918e-334c-a7dd-86d00ee30ae3,"Fredericksburg, Va, Virginia",Fredericksburg,https://sws.geonames.org/4760059/,United States,Virginia,P
fdd4c02f-fd42-3eb0-b8ef-642c482c9ae2,"Fredericksburg? Va, Virginia",Fredericksburg,https://sws.geonames.org/4760059/,United States,Virginia,P
9402916b-6f4e-33c2-ba74-131bc1d30f2a,"Geneva, Switzerland",Geneva,https://sws.geonames.org/2660646/,Switzerland,Geneva,P
1054d4ad-8373-3a50-aa2d-aeb86b2d22fc,"Geneve?, Switzerland",Geneva,https://sws.geonames.org/2660646/,Switzerland,Geneva,P
d0a669de-9070-3588-94f5-9cef2e11b649,"Gordonsville, Va, Virginia",Gordonsville,https://sws.geonames.org/4761471/,United States,Virginia,P
aebe5b5a-d538-3b2f-910d-105fc63365f6,Great Britain,United Kingdom,https://sws.geonames.org/2635167/,United Kingdom,,A
d89e50a7-cad3-3f16-944e-946afffdf793,"Grimma, Germany",Grimma,https://sws.geonames.org/2917325/,Germany,Saxony,P
20bde40e-e0b9-30ad-b85d-7171ffba1281,"Hampton, N.Y.?, New York (State)",Hampton,https://sws.geonames.org/5119897/,United States,New York,P
34107b6a-48b4-34ca-b51f-cfe50d33a6a5,"Harrisonburg, Va, Virginia",Harrisonburg,https://sws.geonames.org/4763231/,United States,Virginia,P
5e06d538-60c6-3f64-83a8-10aba4ea7aaa,"Harrisonburg, Va.], Virginia",Harrisonburg,https://sws.geonames.org/4763231/,United States,Virginia,P
dd5c6ebe-31d9-32c6-a917-fa80a08da4de,"Harrisonburg, Virginia",Harrisonburg,https://sws.geonames.org/4763231/,United States,Virginia,P
