pid,catalog_key
uva-lib:777151,u64548
uva-lib:777169,u2244132
uva-lib:777185,u5161200
uva-lib:777189,u5158954
uva-lib:777191,u5158983
uva-lib:777193,u4857049
uva-lib:777194,u5159146
uva-lib:797794,u2255587
uva-lib:798060,u2265949
uva-lib:798063,u2261278
uva-lib:798065,u2360119
uva-lib:798066,u2251007
uva-lib:798286,u2229522
uva-lib:798287,u2229523
uva-lib:817975,u1924558
uva-lib:825942,u828657
uva-lib:825943,u828656
uva-lib:825948,u2302548
uva-lib:829217,u2262174
uva-lib:829435,u3545936
uva-lib:830147,u4344853
uva-lib:830320,u2302383
uva-lib:838343,u4241670
uva-lib:845301,u4789487
uva-lib:845865,u4505360
uva-lib:1008827,u4473273
uva-lib:1008828,u1781353
uva-lib:1008829,u2036492
uva-lib:1011601,u2357216
uva-lib:1012034,u2306453
uva-lib:1015259,u2338879
uva-lib:1017056,u5240874
uva-lib:1017067,u3954122
uva-lib:1017296,u2339564
uva-lib:1017687,u2286107
uva-lib:1017693,u2229524
uva-lib:1017843,u2357160
uva-lib:1017844,u2339989
uva-lib:1017857,u2276196
uva-lib:1017967,u2247035
uva-lib:1020079,u2272025
uva-lib:1022552,u2357062
uva-lib:1022553,u2357058
tsb:9237,u2338872
uva-lib:1032274,u1983337
uva-lib:1032276,u2674994
uva-lib:1032277,u1785709
uva-lib:1032278,u1785738
uva-lib:1037614,u3803699
uva-lib:1038385,u2251016
uva-lib:1038386,u2255594
uva-lib:1038387,u2253024
uva-lib:1038390,u2247020
uva-lib:1038391,u2340372
uva-lib:1052569,u2244373
uva-lib:1052574,u2246897
uva-lib:1052576,u1381948
uva-lib:1057044,u2278026
uva-lib:1057045,u2247025
uva-lib:1063592,u2341213
uva-lib:1063595,u2229517
uva-lib:1064308,u2385197
uva-lib:1067774,u3793428
uva-lib:1067810,u1790817
uva-lib:1074184,u2297621
uva-lib:1074190,u2234772
uva-lib:1075903,u2360940
uva-lib:1078896,u2244128
uva-lib:1078943,u2245725
uva-lib:1078945,u2278229
uva-lib:1081756,u5170301
uva-lib:1081757,u5170410
uva-lib:1081759,u5074831
uva-lib:1081761,u5170376
uva-lib:1081762,u5170366
uva-lib:1081763,u5192094
uva-lib:1086220,u821033
uva-lib:1086223,u2092015
uva-lib:1086224,u2435849
uva-lib:1086294,u2262330
uva-lib:1086367,u2358154
uva-lib:1090154,u2320156
uva-lib:1090301,u2357782
uva-lib:1090414,u2255854
uva-lib:1099873,u2297623
uva-lib:1099874,u2259406
uva-lib:1102160,u3959600
uva-lib:1102753,u1790744
uva-lib:1109563,u5312958
uva-lib:1109564,u4463234
uva-lib:1109565,u4595355
uva-lib:1109566,u4595354
uva-lib:1109567,u4595353
uva-lib:1109569,u5315562
uva-lib:1109571,u5188130
uva-lib:1110634,u2287889
uva-lib:1110635,u2262848
uva-lib:1110636,u2247028
uva-lib:1110637,u2357935
uva-lib:1114411,u1981628
uva-lib:1116884,u4593770
uva-lib:1116889,u4593887
uva-lib:1116923,u4594232
uva-lib:1116937,u4594272
uva-lib:1116944,u1929210
uva-lib:1116949,u4594294
uva-lib:1116963,u4594555
uva-lib:1116972,u4594559
uva-lib:1116979,u4594568
uva-lib:1116995,u4621633
uva-lib:1117000,u4634427
uva-lib:1117007,u4631171
uva-lib:1117010,u4631173
uva-lib:1117015,u4631173
uva-lib:1117020,u4631177
uva-lib:1117036,u4631188
uva-lib:1117043,u4631198
uva-lib:1117062,u4631214
uva-lib:1117069,u4631242
uva-lib:1117092,u4632569
uva-lib:1117105,u4632607
uva-lib:1117110,u4593873
uva-lib:1117115,u4632724
uva-lib:1117137,u4632725
uva-lib:1117144,u4632789
uva-lib:1117151,u4627182
uva-lib:1117164,u4632814
uva-lib:1117169,u4632817
uva-lib:1117182,u4632859
uva-lib:1117194,u4632862
uva-lib:1117346,u4640862
uva-lib:1117372,u4640872
uva-lib:1117377,u4640875
uva-lib:1117400,u4633028
uva-lib:1117410,u3541661
uva-lib:1118622,u4633695
uva-lib:1118629,u4632776
uva-lib:1118643,u4634051
uva-lib:1118650,u4634080
uva-lib:1118655,u4634087
uva-lib:1118662,u4634091
uva-lib:1118671,u4634146
uva-lib:1118678,u5184309
uva-lib:1118688,u4640879
uva-lib:1118697,u2006734
uva-lib:1118710,u5313295
uva-lib:1118719,u4641969
uva-lib:1118724,u4641974
uva-lib:1118731,u4641976
uva-lib:1118740,u4641980
uva-lib:1118760,u5313296
uva-lib:1118775,u2003498
uva-lib:1118790,u5313297
uva-lib:1118797,u5313298
uva-lib:1118806,u5313299
uva-lib:1118818,u5313300
uva-lib:1118827,u5313301
uva-lib:1118832,u5313302
uva-lib:1118837,u5313303
uva-lib:1118846,u5313304
uva-lib:1118853,u1929066
uva-lib:1118860,u5313305
uva-lib:1118867,u5313306
uva-lib:1118874,u5313307
uva-lib:1118879,u5313308
uva-lib:1118886,u5313309
uva-lib:1118893,u5313310
uva-lib:1118921,u5313311
uva-lib:1118928,u5313312
uva-lib:1118935,u5313313
uva-lib:1118942,u1928965
